384,9216.000000,0.000433,0.000330,0.000519,9216.000000,0.000370,0.000332,0.000420,6144.000000,0.000356,0.000334,0.000383
3840,92160.000000,0.000401,0.000372,0.000491,92160.000000,0.000376,0.000337,0.000418,61440.000000,0.000352,0.000323,0.000411
3840,92160.000000,0.000395,0.000255,0.000471,92160.000000,0.000348,0.000245,0.000443,61440.000000,0.000325,0.000221,0.000373
3840,92160.000000,0.000421,0.000274,0.000503,92160.000000,0.000367,0.000268,0.000426,61440.000000,0.000341,0.000314,0.000362
3840,92160.000000,0.000410,0.000319,0.000563,92160.000000,0.000364,0.000329,0.000459,61440.000000,0.000349,0.000305,0.000402
3840,92160.000000,0.000424,0.000357,0.000548,92160.000000,0.000375,0.000351,0.000427,61440.000000,0.000699,0.000669,0.000744
3840,92160.000000,0.000512,0.000433,0.000586,92160.000000,0.000438,0.000341,0.000520,61440.000000,0.004386,0.004353,0.004428
3840,92160.000000,0.000609,0.000506,0.000720,92160.000000,0.000517,0.000455,0.000602,61440.000000,0.040610,0.040581,0.040628
3840,92160.000000,0.000691,0.000572,0.000803,92160.000000,0.000536,0.000398,0.000620,61440.000000,0.400608,0.400514,0.400657
3840,92160.000000,0.000658,0.000555,0.000991,92160.000000,0.000534,0.000438,0.000686,61440.000000,4.000712,4.000586,4.000765
3840,92160.000000,0.000598,0.000509,0.000813,92160.000000,0.000491,0.000440,0.000558,61440.000000,0.040560,0.040480,0.040668
384,9216.000000,0.000463,0.000238,0.000700,9216.000000,0.000341,0.000207,0.000454,6144.000000,0.004389,0.004197,0.004548
384,9216.000000,0.000538,0.000445,0.000645,9216.000000,0.000441,0.000350,0.000543,6144.000000,0.040688,0.040500,0.041387
384,9216.000000,0.000533,0.000386,0.000715,9216.000000,0.000419,0.000321,0.000498,6144.000000,0.004386,0.004287,0.004601
3840,92160.000000,0.000603,0.000513,0.000665,92160.000000,0.000541,0.000468,0.000653,61440.000000,0.040582,0.040420,0.040647
3840,92160.000000,0.000562,0.000471,0.000677,92160.000000,0.000449,0.000407,0.000513,61440.000000,0.000004,0.000004,0.000004
384,9216.000000,0.000266,0.000207,0.000391,9216.000000,0.000231,0.000185,0.000389,6144.000000,0.000223,0.000184,0.000295
384,9216.000000,0.000312,0.000228,0.000396,9216.000000,0.000271,0.000197,0.000357,6144.000000,0.000258,0.000193,0.000344
384,9216.000000,0.000343,0.000231,0.000514,9216.000000,0.000277,0.000194,0.000412,6144.000000,0.000290,0.000191,0.000394
384,9216.000000,0.000257,0.000203,0.000445,9216.000000,0.000229,0.000196,0.000331,6144.000000,0.000230,0.000195,0.000340
